status_account,month_duration,credit_history,purpose,credit_amount,status_savings,years_employment,payment_to_income_ratio,status_and_sex,secondary_obligor,residence_since,collateral,age,other_installment_plans,housing,n_credits,job,n_guarantors,telephone,is_foreign_worker,target,Unnamed: 21
< 0 DM,18,existing credits paid back duly till now,car (new),976,< 100 DM,< 1 year,1,female : divorced/separated/married,none,2,real estate,23,none,own,1,unskilled - resident,1,none,yes,bad,
0 to < 200 DM,12,existing credits paid back duly till now,business,841,100 to < 500 DM,4 to < 7 years,2,female : divorced/separated/married,none,4,none,23,none,rent,1,unskilled - resident,1,none,yes,good,
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,5771,< 100 DM,4 to < 7 years,4,female : divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,12,delay in paying off in the past,repairs,1555,>= 1000 DM,>= 7 years,4,male : single,none,4,savings agreement/life insurance,55,none,for free,2,skilled employee/ official,2,none,yes,bad,
< 0 DM,24,existing credits paid back duly till now,car (new),1285,unknown/ no savings account,4 to < 7 years,4,female : divorced/separated/married,none,4,savings agreement/life insurance,32,none,rent,1,skilled employee/ official,1,none,yes,bad,
>= 200 DM,6,critical account/ other credits existing (not at this bank),car (new),1299,< 100 DM,1 to < 4 years,1,male : single,none,1,none,74,none,own,3,unemployed/ unskilled - non-resident,2,none,no,good,
< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),691,< 100 DM,>= 7 years,4,male : single,none,3,car,35,none,own,2,skilled employee/ official,1,none,yes,bad,
< 0 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,2124,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,4,none,24,none,rent,2,skilled employee/ official,1,none,yes,bad,
< 0 DM,12,existing credits paid back duly till now,radio/television,2214,< 100 DM,1 to < 4 years,4,male : single,none,3,car,24,none,own,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,12,existing credits paid back duly till now,radio/television,1155,< 100 DM,>= 7 years,3,male : married/widowed,guarantor,3,none,40,bank,own,2,unskilled - resident,1,none,yes,good,
< 0 DM,30,existing credits paid back duly till now,furniture/equipment,3108,< 100 DM,< 1 year,2,male : divorced/separated,none,4,car,31,none,own,1,unskilled - resident,1,none,yes,bad,
no checking account,10,existing credits paid back duly till now,car (used),2901,unknown/ no savings account,< 1 year,1,female : divorced/separated/married,none,4,none,31,none,rent,1,skilled employee/ official,1,none,yes,good,
< 0 DM,24,existing credits paid back duly till now,car (used),2812,unknown/ no savings account,>= 7 years,2,female : divorced/separated/married,none,4,none,26,none,rent,1,skilled employee/ official,1,none,yes,good,
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2223,100 to < 500 DM,>= 7 years,4,male : single,none,4,car,52,bank,own,2,skilled employee/ official,1,none,yes,good,
>= 200 DM,12,critical account/ other credits existing (not at this bank),car (new),1480,500 to < 1000 DM,unemployed,2,male : single,none,4,savings agreement/life insurance,66,bank,for free,3,unemployed/ unskilled - non-resident,1,none,yes,good,
< 0 DM,24,existing credits paid back duly till now,car (new),1371,unknown/ no savings account,1 to < 4 years,4,female : divorced/separated/married,none,4,none,25,none,rent,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,18,existing credits paid back duly till now,radio/television,3509,< 100 DM,4 to < 7 years,4,female : divorced/separated/married,guarantor,1,none,25,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,39,critical account/ other credits existing (not at this bank),radio/television,4933,< 100 DM,4 to < 7 years,2,male : single,guarantor,2,none,25,none,own,2,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,12,existing credits paid back duly till now,car (new),836,100 to < 500 DM,< 1 year,4,female : divorced/separated/married,none,2,car,23,bank,own,1,unskilled - resident,1,none,yes,bad,
no checking account,22,existing credits paid back duly till now,radio/television,2675,500 to < 1000 DM,>= 7 years,3,male : single,none,4,real estate,40,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,48,delay in paying off in the past,education,6224,< 100 DM,>= 7 years,4,male : single,none,4,savings agreement/life insurance,50,none,for free,1,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,21,existing credits paid back duly till now,business,1188,< 100 DM,>= 7 years,2,female : divorced/separated/married,none,4,car,39,none,own,1,skilled employee/ official,2,none,yes,bad,
no checking account,6,critical account/ other credits existing (not at this bank),furniture/equipment,1221,unknown/ no savings account,1 to < 4 years,1,male : married/widowed,none,2,car,27,none,own,2,skilled employee/ official,1,none,yes,good,
>= 200 DM,24,existing credits paid back duly till now,furniture/equipment,2892,< 100 DM,>= 7 years,3,male : divorced/separated,none,4,savings agreement/life insurance,51,none,for free,1,skilled employee/ official,1,none,yes,good,
no checking account,9,existing credits paid back duly till now,furniture/equipment,2301,100 to < 500 DM,< 1 year,2,female : divorced/separated/married,none,4,car,22,none,rent,1,skilled employee/ official,1,none,yes,good,
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1258,< 100 DM,< 1 year,2,female : divorced/separated/married,none,4,car,22,none,rent,2,unskilled - resident,1,none,yes,good,
0 to < 200 DM,9,existing credits paid back duly till now,car (new),1549,unknown/ no savings account,< 1 year,4,male : single,none,2,none,35,none,own,1,unemployed/ unskilled - non-resident,1,none,yes,good,
no checking account,24,critical account/ other credits existing (not at this bank),education,1597,< 100 DM,>= 7 years,4,male : single,none,4,savings agreement/life insurance,54,none,for free,2,skilled employee/ official,2,none,yes,good,
< 0 DM,20,critical account/ other credits existing (not at this bank),furniture/equipment,4272,< 100 DM,>= 7 years,1,female : divorced/separated/married,none,4,car,24,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,976,unknown/ no savings account,>= 7 years,4,male : single,none,4,real estate,35,none,own,2,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,12,existing credits paid back duly till now,car (new),7472,unknown/ no savings account,unemployed,1,female : divorced/separated/married,none,2,none,24,none,rent,1,unemployed/ unskilled - non-resident,1,none,yes,good,
0 to < 200 DM,6,existing credits paid back duly till now,radio/television,590,< 100 DM,< 1 year,3,male : married/widowed,none,3,none,26,none,own,1,unskilled - resident,1,none,no,good,
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,930,unknown/ no savings account,>= 7 years,4,male : single,none,4,none,65,none,own,4,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,15,no credits taken/ all credits paid back duly,car (new),1778,< 100 DM,< 1 year,2,female : divorced/separated/married,none,1,none,26,none,rent,2,unemployed/ unskilled - non-resident,1,none,yes,bad,
0 to < 200 DM,6,existing credits paid back duly till now,radio/television,484,< 100 DM,4 to < 7 years,3,male : married/widowed,guarantor,3,none,28,bank,own,1,unskilled - resident,1,none,yes,good,
< 0 DM,48,existing credits paid back duly till now,domestic appliances,3051,< 100 DM,1 to < 4 years,3,male : single,none,4,real estate,54,none,own,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,48,existing credits paid back duly till now,car (new),3931,< 100 DM,4 to < 7 years,4,male : single,none,4,savings agreement/life insurance,46,none,for free,1,skilled employee/ official,2,none,yes,bad,
0 to < 200 DM,36,delay in paying off in the past,car (new),7432,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,none,2,car,54,none,rent,1,skilled employee/ official,1,none,yes,good,
no checking account,6,existing credits paid back duly till now,domestic appliances,1338,500 to < 1000 DM,1 to < 4 years,1,male : divorced/separated,none,4,none,62,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,36,existing credits paid back duly till now,others,15857,< 100 DM,unemployed,2,male : divorced/separated,co-applicant,3,real estate,43,none,own,1,management/ self-employed/highly qualified employee,1,none,yes,good,
< 0 DM,18,existing credits paid back duly till now,radio/television,1345,< 100 DM,1 to < 4 years,4,male : married/widowed,none,3,none,26,bank,own,1,skilled employee/ official,1,none,yes,bad,
>= 200 DM,12,existing credits paid back duly till now,radio/television,3016,< 100 DM,1 to < 4 years,3,male : married/widowed,none,1,real estate,24,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,36,existing credits paid back duly till now,furniture/equipment,2712,< 100 DM,>= 7 years,2,male : single,none,2,car,41,bank,own,1,skilled employee/ official,2,none,yes,bad,
< 0 DM,8,critical account/ other credits existing (not at this bank),car (new),731,< 100 DM,>= 7 years,4,male : single,none,4,none,47,none,own,2,unskilled - resident,1,none,yes,good,
no checking account,18,no credits taken/ all credits paid back duly,business,4165,< 100 DM,1 to < 4 years,2,male : single,none,2,real estate,36,stores,own,2,skilled employee/ official,2,none,yes,bad,
< 0 DM,36,existing credits paid back duly till now,car (used),8335,unknown/ no savings account,>= 7 years,3,male : single,none,4,savings agreement/life insurance,47,none,for free,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,45,no credits taken/ all credits paid back duly,business,11816,< 100 DM,>= 7 years,2,male : single,none,4,real estate,29,none,rent,2,skilled employee/ official,1,none,yes,bad,
>= 200 DM,15,existing credits paid back duly till now,radio/television,2327,< 100 DM,< 1 year,2,female : divorced/separated/married,none,3,none,25,none,own,1,unskilled - resident,1,none,yes,bad,
< 0 DM,12,no credits taken/ all credits paid back duly,car (new),1082,< 100 DM,1 to < 4 years,4,male : single,none,4,real estate,48,bank,own,2,skilled employee/ official,1,none,yes,bad,
no checking account,12,existing credits paid back duly till now,radio/television,886,unknown/ no savings account,1 to < 4 years,4,female : divorced/separated/married,none,2,real estate,21,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,4,existing credits paid back duly till now,furniture/equipment,601,< 100 DM,< 1 year,1,female : divorced/separated/married,none,3,none,23,none,rent,1,unskilled - resident,2,none,yes,good,
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2611,< 100 DM,>= 7 years,4,male : married/widowed,co-applicant,3,none,46,none,own,2,skilled employee/ official,1,none,yes,good,
< 0 DM,36,existing credits paid back duly till now,furniture/equipment,5179,< 100 DM,4 to < 7 years,4,male : single,none,2,car,29,none,own,1,skilled employee/ official,1,none,yes,bad,
no checking account,21,delay in paying off in the past,car (used),2993,< 100 DM,1 to < 4 years,3,male : single,none,2,none,28,stores,own,2,unskilled - resident,1,none,yes,good,
no checking account,18,existing credits paid back duly till now,repairs,1943,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,none,23,none,own,1,skilled employee/ official,1,none,yes,bad,
no checking account,18,existing credits paid back duly till now,car (new),6761,unknown/ no savings account,1 to < 4 years,2,male : single,none,4,real estate,68,none,rent,2,skilled employee/ official,1,none,yes,bad,
no checking account,24,existing credits paid back duly till now,car (new),1249,< 100 DM,< 1 year,4,male : married/widowed,none,2,none,28,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,9,existing credits paid back duly till now,radio/television,1364,< 100 DM,4 to < 7 years,3,male : single,none,4,none,59,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,12,existing credits paid back duly till now,radio/television,709,< 100 DM,>= 7 years,4,male : single,none,4,none,57,stores,own,1,unskilled - resident,1,none,yes,bad,
< 0 DM,20,critical account/ other credits existing (not at this bank),car (new),2235,< 100 DM,1 to < 4 years,4,male : married/widowed,guarantor,2,car,33,bank,rent,2,skilled employee/ official,1,none,no,bad,
< 0 DM,18,all credits at this bank paid back duly,car (new),1442,< 100 DM,4 to < 7 years,4,male : single,none,4,savings agreement/life insurance,32,none,for free,2,unskilled - resident,2,none,yes,bad,
no checking account,9,existing credits paid back duly till now,car (new),3577,100 to < 500 DM,1 to < 4 years,1,male : single,guarantor,2,none,26,none,rent,1,skilled employee/ official,2,none,no,good,
no checking account,24,critical account/ other credits existing (not at this bank),car (used),5804,>= 1000 DM,1 to < 4 years,4,male : single,none,2,none,27,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,10,existing credits paid back duly till now,furniture/equipment,2210,< 100 DM,1 to < 4 years,2,male : single,none,2,none,25,bank,rent,1,unskilled - resident,1,none,yes,bad,
no checking account,15,existing credits paid back duly till now,furniture/equipment,2221,500 to < 1000 DM,1 to < 4 years,2,female : divorced/separated/married,none,4,real estate,20,none,rent,1,skilled employee/ official,1,none,yes,good,
< 0 DM,18,existing credits paid back duly till now,radio/television,2389,< 100 DM,< 1 year,4,female : divorced/separated/married,none,1,real estate,27,stores,own,1,skilled employee/ official,1,none,yes,good,
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,3331,< 100 DM,>= 7 years,2,male : single,none,4,car,42,stores,own,1,skilled employee/ official,1,none,yes,good,
no checking account,36,existing credits paid back duly till now,business,7409,unknown/ no savings account,>= 7 years,3,male : single,none,2,car,37,none,own,2,skilled employee/ official,1,none,yes,good,
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,652,< 100 DM,>= 7 years,4,female : divorced/separated/married,none,4,car,24,none,rent,1,skilled employee/ official,1,none,yes,good,
>= 200 DM,6,critical account/ other credits existing (not at this bank),car (new),1343,< 100 DM,>= 7 years,1,male : single,none,4,none,46,none,own,2,skilled employee/ official,2,none,no,good,
no checking account,15,existing credits paid back duly till now,domestic appliances,874,unknown/ no savings account,< 1 year,4,female : divorced/separated/married,none,1,none,24,none,own,1,skilled employee/ official,1,none,yes,good,
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,3590,< 100 DM,1 to < 4 years,2,male : single,co-applicant,2,car,29,none,own,1,unskilled - resident,2,none,yes,good,
0 to < 200 DM,11,critical account/ other credits existing (not at this bank),car (new),1322,>= 1000 DM,1 to < 4 years,4,female : divorced/separated/married,none,4,real estate,40,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,36,existing credits paid back duly till now,radio/television,3595,< 100 DM,>= 7 years,4,male : single,none,2,real estate,28,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,6742,unknown/ no savings account,4 to < 7 years,2,male : single,none,3,car,36,none,own,2,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),2181,unknown/ no savings account,>= 7 years,4,male : single,none,4,none,36,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1098,< 100 DM,unemployed,4,female : divorced/separated/married,none,4,real estate,65,none,own,2,unemployed/ unskilled - non-resident,1,none,yes,good,
< 0 DM,12,existing credits paid back duly till now,education,795,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,car,53,none,own,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,12,critical account/ other credits existing (not at this bank),car (new),2171,< 100 DM,1 to < 4 years,4,male : single,none,4,car,38,bank,own,2,unskilled - resident,1,none,no,good,
no checking account,12,critical account/ other credits existing (not at this bank),furniture/equipment,1592,>= 1000 DM,4 to < 7 years,3,female : divorced/separated/married,none,2,car,35,none,own,1,skilled employee/ official,1,none,no,good,
no checking account,15,existing credits paid back duly till now,furniture/equipment,2186,unknown/ no savings account,4 to < 7 years,1,female : divorced/separated/married,none,4,none,33,bank,rent,1,unskilled - resident,1,none,yes,good,
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,4153,< 100 DM,1 to < 4 years,2,male : single,co-applicant,3,real estate,42,none,own,1,skilled employee/ official,1,none,yes,bad,
no checking account,36,critical account/ other credits existing (not at this bank),car (used),10477,unknown/ no savings account,>= 7 years,2,male : single,none,4,savings agreement/life insurance,42,none,for free,2,skilled employee/ official,1,none,yes,good,
< 0 DM,21,existing credits paid back duly till now,car (new),3763,unknown/ no savings account,4 to < 7 years,2,male : single,co-applicant,2,none,24,none,own,1,unskilled - resident,1,none,no,good,
0 to < 200 DM,36,existing credits paid back duly till now,education,3711,unknown/ no savings account,1 to < 4 years,2,male : married/widowed,none,2,real estate,27,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,15,delay in paying off in the past,car (used),3594,< 100 DM,< 1 year,1,female : divorced/separated/married,none,2,car,46,none,own,2,unskilled - resident,1,none,yes,good,
0 to < 200 DM,9,existing credits paid back duly till now,car (new),3195,unknown/ no savings account,1 to < 4 years,1,female : divorced/separated/married,none,2,none,33,none,own,1,unskilled - resident,1,none,yes,good,
no checking account,36,delay in paying off in the past,radio/television,4454,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,4,none,34,none,own,2,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,24,critical account/ other credits existing (not at this bank),furniture/equipment,4736,< 100 DM,< 1 year,2,female : divorced/separated/married,none,4,real estate,25,bank,own,1,unskilled - resident,1,none,yes,bad,
0 to < 200 DM,30,existing credits paid back duly till now,radio/television,2991,unknown/ no savings account,>= 7 years,2,female : divorced/separated/married,none,4,real estate,25,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,10,existing credits paid back duly till now,car (used),2848,100 to < 500 DM,1 to < 4 years,1,male : single,co-applicant,2,none,32,none,own,1,skilled employee/ official,2,none,yes,good,
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,2359,100 to < 500 DM,unemployed,1,male : divorced/separated,none,1,car,33,none,own,1,skilled employee/ official,1,none,yes,bad,
no checking account,18,critical account/ other credits existing (not at this bank),furniture/equipment,1817,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,2,savings agreement/life insurance,28,none,own,2,skilled employee/ official,1,none,yes,good,
< 0 DM,9,existing credits paid back duly till now,radio/television,1366,< 100 DM,< 1 year,3,female : divorced/separated/married,none,4,car,22,none,rent,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,18,critical account/ other credits existing (not at this bank),furniture/equipment,1049,< 100 DM,< 1 year,4,female : divorced/separated/married,none,4,car,21,none,rent,1,skilled employee/ official,1,none,yes,good,
< 0 DM,12,delay in paying off in the past,car (new),1344,< 100 DM,1 to < 4 years,4,male : single,none,2,none,43,none,own,2,unskilled - resident,2,none,yes,good,
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,1747,< 100 DM,< 1 year,4,male : single,co-applicant,1,car,24,none,own,1,unskilled - resident,1,none,no,good,
no checking account,9,critical account/ other credits existing (not at this bank),car (new),1224,< 100 DM,1 to < 4 years,3,male : single,none,1,none,30,none,own,2,skilled employee/ official,1,none,yes,good,
< 0 DM,12,existing credits paid back duly till now,radio/television,1498,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,1,real estate,23,bank,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,30,delay in paying off in the past,radio/television,1919,100 to < 500 DM,< 1 year,4,male : single,none,3,savings agreement/life insurance,30,stores,own,2,management/ self-employed/highly qualified employee,1,none,yes,bad,
>= 200 DM,9,existing credits paid back duly till now,radio/television,745,< 100 DM,1 to < 4 years,3,female : divorced/separated/married,none,2,none,28,none,own,1,unskilled - resident,1,none,yes,bad,
0 to < 200 DM,60,existing credits paid back duly till now,education,6288,< 100 DM,1 to < 4 years,4,male : single,none,4,savings agreement/life insurance,42,none,for free,1,skilled employee/ official,1,none,yes,bad,
no checking account,10,existing credits paid back duly till now,car (new),1546,< 100 DM,1 to < 4 years,3,male : single,none,2,none,31,none,own,1,unskilled - resident,2,none,no,good,
no checking account,4,critical account/ other credits existing (not at this bank),car (new),1455,< 100 DM,4 to < 7 years,2,male : single,none,1,none,42,none,own,3,unskilled - resident,2,none,yes,good,
< 0 DM,15,existing credits paid back duly till now,furniture/equipment,1845,< 100 DM,< 1 year,4,female : divorced/separated/married,guarantor,1,car,46,none,rent,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,48,no credits taken/ all credits paid back duly,car (new),8358,500 to < 1000 DM,< 1 year,1,female : divorced/separated/married,none,1,real estate,30,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,18,existing credits paid back duly till now,furniture/equipment,1533,< 100 DM,< 1 year,4,male : married/widowed,co-applicant,1,car,43,none,own,1,unskilled - resident,2,none,yes,bad,
no checking account,24,existing credits paid back duly till now,radio/television,3621,100 to < 500 DM,>= 7 years,2,male : single,none,4,real estate,31,none,own,2,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,24,existing credits paid back duly till now,car (used),4113,500 to < 1000 DM,< 1 year,3,female : divorced/separated/married,none,4,real estate,28,none,rent,1,skilled employee/ official,1,none,yes,bad,
>= 200 DM,30,critical account/ other credits existing (not at this bank),radio/television,3656,unknown/ no savings account,>= 7 years,4,male : single,none,4,car,49,stores,own,2,unskilled - resident,1,none,yes,good,
0 to < 200 DM,9,critical account/ other credits existing (not at this bank),radio/television,1154,< 100 DM,>= 7 years,2,male : single,none,4,none,37,none,own,3,unskilled - resident,1,none,yes,good,
< 0 DM,28,existing credits paid back duly till now,car (new),4006,< 100 DM,1 to < 4 years,3,male : single,none,2,real estate,45,none,own,1,unskilled - resident,1,none,yes,bad,
0 to < 200 DM,24,existing credits paid back duly till now,furniture/equipment,3069,100 to < 500 DM,>= 7 years,4,male : single,none,4,savings agreement/life insurance,30,none,for free,1,skilled employee/ official,1,none,yes,good,
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1740,< 100 DM,>= 7 years,2,male : married/widowed,none,2,none,30,none,rent,2,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,21,delay in paying off in the past,car (new),2353,< 100 DM,1 to < 4 years,1,male : divorced/separated,none,4,car,47,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,15,existing credits paid back duly till now,car (new),3556,unknown/ no savings account,1 to < 4 years,3,male : single,none,2,savings agreement/life insurance,29,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,6,existing credits paid back duly till now,repairs,454,< 100 DM,< 1 year,3,male : married/widowed,none,1,car,22,none,own,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,30,existing credits paid back duly till now,radio/television,1715,unknown/ no savings account,1 to < 4 years,4,female : divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,27,critical account/ other credits existing (not at this bank),radio/television,2520,500 to < 1000 DM,1 to < 4 years,4,male : single,none,2,car,23,none,own,2,unskilled - resident,1,none,yes,bad,
< 0 DM,11,critical account/ other credits existing (not at this bank),car (new),3939,< 100 DM,1 to < 4 years,1,male : single,none,2,none,40,none,own,2,unskilled - resident,2,none,yes,good,
0 to < 200 DM,15,existing credits paid back duly till now,repairs,1514,100 to < 500 DM,1 to < 4 years,4,male : single,guarantor,2,none,22,none,own,1,skilled employee/ official,1,none,yes,good,
no checking account,24,existing credits paid back duly till now,car (new),7393,< 100 DM,1 to < 4 years,1,male : single,none,4,car,43,none,own,1,unskilled - resident,2,none,yes,good,
< 0 DM,24,all credits at this bank paid back duly,car (new),1193,< 100 DM,unemployed,1,female : divorced/separated/married,co-applicant,4,savings agreement/life insurance,29,none,rent,2,unemployed/ unskilled - non-resident,1,none,yes,bad,
< 0 DM,60,existing credits paid back duly till now,business,7297,< 100 DM,>= 7 years,4,male : single,co-applicant,4,savings agreement/life insurance,36,none,rent,1,skilled employee/ official,1,none,yes,bad,
>= 200 DM,24,existing credits paid back duly till now,radio/television,1258,500 to < 1000 DM,1 to < 4 years,3,female : divorced/separated/married,none,3,real estate,57,none,own,1,unskilled - resident,1,none,yes,good,
0 to < 200 DM,6,existing credits paid back duly till now,radio/television,753,< 100 DM,1 to < 4 years,2,female : divorced/separated/married,guarantor,3,none,64,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,18,delay in paying off in the past,business,2427,unknown/ no savings account,>= 7 years,4,male : single,none,2,car,42,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,24,delay in paying off in the past,car (new),2538,< 100 DM,>= 7 years,4,male : single,none,4,real estate,47,none,own,2,unskilled - resident,2,none,yes,bad,
0 to < 200 DM,15,all credits at this bank paid back duly,car (new),1264,100 to < 500 DM,1 to < 4 years,2,male : married/widowed,none,2,car,25,none,rent,1,skilled employee/ official,1,none,yes,bad,
0 to < 200 DM,30,critical account/ other credits existing (not at this bank),furniture/equipment,8386,< 100 DM,4 to < 7 years,2,male : single,none,2,car,49,none,own,1,skilled employee/ official,1,none,yes,bad,
< 0 DM,36,existing credits paid back duly till now,car (used),8229,< 100 DM,1 to < 4 years,2,male : single,none,2,car,26,none,own,1,skilled employee/ official,2,none,yes,bad,
no checking account,24,critical account/ other credits existing (not at this bank),furniture/equipment,2028,< 100 DM,4 to < 7 years,2,male : single,none,2,car,30,none,own,2,unskilled - resident,1,none,yes,good,
< 0 DM,15,critical account/ other credits existing (not at this bank),furniture/equipment,1433,< 100 DM,1 to < 4 years,4,female : divorced/separated/married,none,3,car,25,none,rent,2,skilled employee/ official,1,none,yes,good,
>= 200 DM,42,no credits taken/ all credits paid back duly,business,6289,< 100 DM,< 1 year,2,male : divorced/separated,none,1,car,33,none,own,2,skilled employee/ official,1,none,yes,good,
no checking account,13,existing credits paid back duly till now,radio/television,1409,100 to < 500 DM,unemployed,2,female : divorced/separated/married,none,4,none,64,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,24,critical account/ other credits existing (not at this bank),radio/television,1743,< 100 DM,>= 7 years,4,male : single,none,2,car,48,none,own,2,unskilled - resident,1,none,yes,good,
no checking account,12,critical account/ other credits existing (not at this bank),education,3565,unknown/ no savings account,< 1 year,2,male : single,none,1,car,37,none,own,2,unskilled - resident,2,none,yes,good,
no checking account,15,all credits at this bank paid back duly,radio/television,1569,100 to < 500 DM,>= 7 years,4,male : single,none,4,real estate,34,bank,own,1,unskilled - resident,2,none,yes,good,
< 0 DM,18,existing credits paid back duly till now,radio/television,1936,unknown/ no savings account,4 to < 7 years,2,male : married/widowed,none,4,real estate,23,none,rent,2,unskilled - resident,1,none,yes,good,
no checking account,12,existing credits paid back duly till now,furniture/equipment,1736,< 100 DM,4 to < 7 years,3,female : divorced/separated/married,none,4,none,31,none,own,1,unskilled - resident,1,none,yes,good,
no checking account,12,existing credits paid back duly till now,radio/television,804,< 100 DM,>= 7 years,4,male : single,none,4,real estate,38,none,own,1,skilled employee/ official,1,none,yes,good,
0 to < 200 DM,45,critical account/ other credits existing (not at this bank),car (used),4576,100 to < 500 DM,unemployed,3,male : single,none,4,real estate,27,none,own,1,skilled employee/ official,1,none,yes,good,
